,name,cusip,firstyr,gvkey,lastyr,pdpco,pdpseq,begyr,endyr,match
13834,WESTINGHOUSE ELEC-PRE FASB,96099Z,1969,20362,1991,20362,1,1969,1991,1
13835,AMERICAN BRANDS INC-PRE FASB,02499Z,1969,20363,1993,20363,1,1969,1993,
13836,ETHYL CORP-PRE FASB,29799Z,1969,20364,1992,20364,1,1969,1992,1
13837,ALTRIA GROUP INC-PRE FASB,71899Z,1969,20365,2006,8543,-1,,,0
13838,DANA CORP-PRE FASB,23599Z,1969,20366,2005,3734,-1,,,1
13839,DIAL CP/AZ-PRE FASB,25299Z,1969,20367,1990,20367,1,1969,1990,
13840,NVR INC-PRE FASB,62999Z,1985,20368,1992,12459,-1,,,
13841,TEMPLE-INLAND INC-PRE FASB,87999Z,1983,20369,2006,10426,-1,,,1
13842,MEDIQ INC-PRE FASB,58499Z,1981,20370,1991,7216,-1,,,
13843,TRINITY INDUSTRIES-PRE FASB,89699Z,1969,20371,1995,10735,-1,,,1
13844,DONNELLEY R R &SONS-PRE FASB,25799Z,1969,20372,1987,20372,1,1969,1987,
13845,QUAKER STATE CORP-PRE FASB,74799Z,1969,20373,1993,8853,-1,,,1
13846,CENTEX CORP-PRE FASB,15299Z,1969,20374,2006,2845,-1,,,
13847,TRIARC COS INC-PRE FASB,89599Z,1969,20375,1987,3708,-1,,,
13848,FEDERAL SIGNAL CORP-PRE FASB,31399Z,1969,20376,1987,4608,-1,,,1
13849,LSB INDUSTRIES INC-PRE FASB,50299Z,1969,20377,1989,6528,-1,,,1
13850,HARCRT BRACE JOVAN-PRE FASB,41199Z,1969,20378,1990,20378,1,1969,1990,0
13851,AMERICAN ECO CORP,02553G,1987,20417,1999,20417,1,1987,1999,
13852,FOSTERS GROUP LTD  -ADR,350258,2001,20421,2006,20421,1,2001,2006,
13853,HARRAHS ENTERTAINMENT INC,413619,1988,20423,2006,20423,2,1988,2006,
13854,FNX MINING CO INC,30253R,2001,20465,2006,20465,1,2001,2006,
13855,GOLDEN STAR RESOURCES LTD,38119T,1988,20488,2006,20488,1,1988,2006,
13856,BIOCHEM PHARMA INC,09058T,1989,20492,2000,20492,1,1989,2000,1
13857,CEDARA SOFTWARE CORP,150644,1988,20494,2004,20494,1,1988,2004,1
13858,INTERNATIONAL PETROLEUM CORP,46016E,1988,20516,1996,20516,1,1988,1996,
13859,RAPID LINK INC,753400,1992,20519,2006,20519,1,1992,2006,
13860,INTL VERIFACT INC,46055K,1987,20520,1997,20520,1,1987,1997,1
13861,CABOT OIL & GAS CORP,127097,1989,20548,2006,20548,1,1989,2006,
13862,MEDICAL DEPOT INC,584557,1989,20551,1989,20551,1,1989,1989,1
13863,SEARCH EXPLORATION INC,812208,1990,20553,1994,20553,1,1990,1994,
13864,NETCURRENTS INFO SVCS INC,64111M,1991,20556,2000,20556,1,1991,2000,
13865,TDX CORP,872363,1989,20557,1995,20557,1,1989,1995,1
13866,MDC PARTNERS INC,552697,1993,20570,2006,20570,1,1993,2006,
13867,FIGGIE INTL-PRE FASB,31699Z,1964,20578,1991,20578,1,1964,1991,1
13868,PACCAR INC-PRE FASB,69399Z,1966,20579,2006,8253,-1,,,1
13869,PC DOCS GROUP INTL INC,69318L,1993,20588,1998,20588,1,1993,1998,
13870,NOVAGOLD RESOURCES LTD,66987E,1999,20600,2006,20600,1,1999,2006,1
13871,PETROFUND ENERGY TRUST,71648W,1998,20635,2005,20635,1,1998,2005,0
13872,DENBURY RESOURCES INC,247916,1994,20653,2006,20653,1,1994,2006,0
13873,GORAN CAPITAL INC,38268H,1993,20666,2002,20666,1,1993,2002,
13874,PAN AMERICAN SILVER CORP,697900,1994,20670,2006,20670,1,1994,2006,
13875,PENGROWTH ENERGY TRUST,706902,1995,20683,2006,20683,1,1995,2006,0
13876,PENN WEST ENERGY TRUST,707885,2005,20684,2006,20684,1,2005,2006,
13877,PRECISION DRILLING TRUST,740215,1992,20695,2006,20695,1,1992,2006,1
13878,MASONITE INTERNATIONAL CORP,575384,1987,20696,2004,20696,2,1987,2004,1
13879,QUEENSTAKE RES LTD YUKON,748314,1995,20704,2006,20704,1,1995,2006,0
13880,RICHMONT MINES INC,76547T,1994,20721,2005,20721,1,1994,2005,0
13881,S R TELECOM INC,78464P,2001,20734,2005,20734,1,2001,2005,1
13882,TESCO CORP,88157K,1993,20747,2006,20747,2,1993,2006,1
13883,SOFTKEY SOFTWARE PRODUCTS,83402T,1985,20759,1992,20759,1,1985,1992,0
13884,EPIC HEALTHCARE GROUP INC,293932,1989,20768,1993,20768,1,1989,1993,
13885,KELSEY HAYES CO,488188,1988,20769,1988,20769,2,1988,1988,1
13886,CISCO SYSTEMS INC,17275R,1989,20779,2006,20779,1,1989,2006,1
13887,BERNARD HALDANE ASSOC INC,08527W,1986,20782,1997,20782,1,1986,1997,
