2411_2004ps,127480_ps,0.168
24975_2004ps,145161_ps,0.153
10553_2004ps,133047_ps,0.086
6266_2005ps,63617_ps,0.294
30098_2005ps,10541_ps,0.09
212340_2005ps,63804_ps,0.45
12233_2005ps,62821_ps,0.435
27903_1999ps,31722_ps,0.147
12136_2005ps,28325_ps,0.101
29241_2005ps,4132_ps,0.083
8530_2005ps,138404_ps,0.466
11465_2005ps,7139_ps,0.077
118577_2005ps,10321_ps,0.469
24409_2005ps,66582_ps,0.114
30137_2005ps,141097_ps,0.426
64606_2005ps,147302_ps,0.169
12142_2005ps,63180_ps,0.137
17079_1999ps,10010_ps,0.141
3116_2005ps,135247_ps,0.335
24975_2005ps,143869_ps,0.106
144436_2005ps,2246_ps,0.14
221237_2005ps,61401_ps,0.148
23671_2005ps,64099_ps,0.124
62391_2001ps,29822_ps,0.083
11910_2002ps,123019_ps,0.152
136725_2003ps,65264_ps,0.231
1078_2004ps,140900_ps,0.268
148870_2004ps,14897_ps,0.177
20779_2005ps,9483_ps,0.08
6266_2006ps,161926_ps,0.335
126554_2009ps,119216_ps,0.191
28145_1999ps,20982_ps,0.168
10787_2000ps,6096_ps,0.042
25279_2004ps,31166_ps,0.296
1602_2005ps,112178_ps,0.432
6266_2005ps,260892_ps,0.321
6066_2005ps,66468_ps,0.122
61706_1999ps,121615_ps,0.311
150937_2005ps,7123_ps,0.127
127455_2006ps,142096_ps,0.363
27845_2006ps,63051_ps,0.461
12142_2006ps,120300_ps,0.126
8867_2006ps,63644_ps,0.099
12053_2006ps,31168_ps,0.109
5606_2006ps,29095_ps,0.104
23671_2006ps,132980_ps,0.153
17080_2006ps,146735_ps,0.12
5180_2006ps,13474_ps,0.208
63117_1999ps,63462_ps,0.151
6730_2006ps,24110_ps,0.443
13440_2006ps,135865_ps,0.173
7257_2006ps,62632_ps,0.436
1078_2006ps,64542_ps,0.339
7985_2006ps,4456_ps,0.14
5020_2006ps,133731_ps,0.459
22815_2006ps,140061_ps,0.114
4439_2006ps,120595_ps,0.124
7585_2006ps,117905_ps,0.093
6066_1999ps,13315_ps,0.092
148870_2007ps,160597_ps,0.159
146156_2007ps,64375_ps,0.291
126554_2007ps,160607_ps,0.263
20904_2007ps,62336_ps,0.296
6304_2007ps,115245_ps,0.183
8546_2007ps,160203_ps,0.628
65142_2007ps,1651_ps,0.124
10540_2007ps,6571_ps,0.016
23671_2007ps,160260_ps,0.237
12142_2007ps,64606_ps,0.144
1078_1999ps,61500_ps,0.282
13599_2007ps,155795_ps,0.483
10453_2007ps,160231_ps,0.206
63959_2008ps,127075_ps,0.073
126615_2008ps,122360_ps,0.126
260893_2008ps,156615_ps,0.128
8169_2008ps,61560_ps,0.186
163680_2008ps,155794_ps,0.231
29955_1999ps,61731_ps,0.366
6066_1999ps,7640_ps,0.115
31530_1999ps,63652_ps,0.15
15293_1999ps,61603_ps,0.197
7257_1999ps,62838_ps,0.278
4675_1999ps,3172_ps,0.258
25906_1999ps,110773_ps,0.448
12053_1999ps,3760_ps,0.151
62599_1999ps,63589_ps,0.165
62599_1999ps,65766_ps,0.139
10787_1999ps,62833_ps,0.321
7980_1999ps,31666_ps,0.162
7585_1999ps,5063_ps,0.11
3336_1999ps,13096_ps,0.159
11288_1999ps,13308_ps,0.335
24008_1999ps,17764_ps,0.421
14561_1999ps,64936_ps,0.169
101352_1999ps,64914_ps,0.183
4066_1999ps,6876_ps,0.036
4145_1999ps,64128_ps,0.198
62784_1999ps,65295_ps,0.434
28881_1999ps,27940_ps,0.162
8530_1999ps,11288_ps,0.384
29241_1999ps,8163_ps,0.126
10983_1999ps,10163_ps,0.042
2086_1999ps,20907_ps,0.318
6266_1999ps,63003_ps,0.259
13197_1999ps,66021_ps,0.32
61646_1999ps,60822_ps,0.138
10530_1999ps,24338_ps,0.229
62599_2000ps,30844_ps,0.123
125595_2000ps,65880_ps,0.136
4245_2000ps,12397_ps,0.341
3310_2000ps,10071_ps,0.173
9899_2000ps,62338_ps,0.195
101352_1999ps,62372_ps,0.185
1013_2000ps,28848_ps,0.138
126320_2000ps,65716_ps,0.137
113498_2000ps,126616_ps,0.122
126734_2000ps,60933_ps,0.148
126461_2000ps,62550_ps,0.162
10115_2000ps,63827_ps,0.164
61706_2000ps,66658_ps,0.275
3336_2000ps,8658_ps,0.2
61562_2000ps,4374_ps,0.15
7526_1999ps,60958_ps,0.377
29353_2000ps,10092_ps,0.093
23945_2000ps,29643_ps,0.395
10232_2000ps,10422_ps,0.14
15855_2000ps,62690_ps,0.148
100572_2000ps,7718_ps,0.337
3011_2000ps,61601_ps,0.042
133885_2000ps,66101_ps,0.303
4245_2000ps,24908_ps,0.388
10787_2000ps,24845_ps,0.359
63442_2000ps,63140_ps,0.217
29642_1999ps,24345_ps,0.51
14261_2000ps,2267_ps,0.222
11793_2000ps,7503_ps,0.425
6509_2000ps,2891_ps,0.156
65578_2000ps,64299_ps,0.414
20779_2000ps,29396_ps,0.123
7435_2000ps,25441_ps,0.145
126554_2000ps,61642_ps,0.124
23671_2000ps,121561_ps,0.172
27882_2000ps,119214_ps,0.171
117768_2000ps,64984_ps,0.114
1913_1999ps,29414_ps,0.024
12206_2000ps,133469_ps,0.14
138744_2000ps,62535_ps,0.298
6008_2001ps,25115_ps,0.111
122436_2001ps,118446_ps,0.148
17110_2001ps,30031_ps,0.092
6266_2001ps,62705_ps,0.232
102696_2001ps,61684_ps,0.112
61676_2001ps,135024_ps,0.101
6266_2001ps,1359_ps,0.264
5492_2001ps,64682_ps,0.196
